Product Name,Category,Cost Price,Selling Price,Quantity,Expiry Date (YYYY-MM-DD),Reorder Level
ACTIVE WOMAN LOT,LOTION,,17.00,10,,
PURE SKIN CR S/S,CREAM,,10.00,6,,
COCOA BUTTER FANTASY CR,CREAM,,20.00,28,,
BEBE AND MAMA CR S/S,CREAM,,10.00,5,,
BEBE AND MAMA CR M/S,CREAM,,22.00,4,,
BEBE AND MAMA CR B/S,CREAM,,39.00,7,,
IDEAL MEN LOT,LOTION,,20.00,54,,
GIV LOT,LOTION,,20.00,22,,
OLIVE OIL HAIR SPRAY,SPRAY,,50.00,8,,
ONE STEP SPIRITZ S/S,Uncategorized,,48.00,1,,
SIMPLY SMART SPIRITZ,Uncategorized,,34.00,0,,
SAIRO HAIR SPRAY,SPRAY,,45.00,4,,
X BLOCK STYLING GEL,GEL,,30.00,2,,
INDIAN HEMP KUZA,Uncategorized,,40.00,7,,
CHAPTER 2000 S/S,Uncategorized,,10.00,3,,
CHAPTER 2000 M/S,Uncategorized,,38.00,1,,
CHAPTER 2000 B/S,Uncategorized,,60.00,1,,
SHEA BUTTER SPIRITZ,Uncategorized,,65.00,1,,
SHEA BUTTER MOUSSE,Uncategorized,,68.00,2,,
SHEA BUTTER LEAVE IN,Uncategorized,,110.00,1,,
SHEA BUTTER RELAXER,RELAXER,,112.00,1,,
OLIVE OIL RELAXER,RELAXER,,105.00,1,,
MEGA GROWTH RELAXER,RELAXER,,78.00,1,,
BROOKLYN RELAXER,RELAXER,,85.00,0,,
OPTIMAL RELAXER S/S,RELAXER,,12.00,12,,
OPTIMAL RELAXER M/S,RELAXER,,22.00,3,,
OPTIMAL RELAXER B/S,RELAXER,,38.00,1,,
KURL KEEPER,Uncategorized,,17.00,3,,
APPLE HAIR FOOD,Uncategorized,,14.00,15,,
CURL ACTIVATOR S/S,Uncategorized,,8.00,12,,
CURL ACTIVATOR B/S,Uncategorized,,20.00,0,,
PRECIOUS HAIR FOOD S/S,Uncategorized,,10.00,16,,
PRECIOUS HAIR FOOD M/S,Uncategorized,,30.00,6,,
PRECIOUS HAIR FOOD B/S,Uncategorized,,45.00,1,,
MAXIM TWIST AND CURL,Uncategorized,,22.00,1,,
MAXIM GEL S/S,GEL,,8.00,140,,
SIBI SOAP,SOAP,,20.00,0,,
SUBARU HAIR DYE,Uncategorized,,4.00,4,,
SKIN SOFT POWDER S/S,POWDER,,5.00,10,,
SKIN SOFT POWDER B/S,POWDER,,10.00,6,,
SISTER POWDER S/S,POWDER,,5.00,22,,
SISTER POWDER B/S,POWDER,,12.00,12,,
BABY POWDER S/S,POWDER,,5.00,30,,
BABY POWDER M/S,POWDER,,10.00,11,,
SOLDIER POWDER,POWDER,,8.00,4,,
TOP COUNTRY POWDER S/S,POWDER,,12.00,2,,
TOP COUNTRY POWDER,POWDER,,18.00,1,,
STAY POWDER S/S,POWDER,,15.00,20,,
STAY POWDER B/S,POWDER,,24.00,3,,
PASSION POWDER B/S,POWDER,,20.00,2,,
PASSION POWDER S/S,POWDER,,3.00,5,,
PASSION POWDER M/S,POWDER,,10.00,10,,
SILVER LINE POWDER,POWDER,,12.00,3,,
PRINCESS POWDER,POWDER,,12.00,12,,
PRINCESS POWDER B/S,POWDER,,18.00,1,,
SKIN CLINIQUE POWDER M/S,POWDER,,12.00,23,,
MP3 POWDER M/S,POWDER,,12.00,11,,
SOO PURE LOT,LOTION,,18.00,8,,
LIGHT UP LOT S/S,LOTION,,22.00,3,,
LIGHT UP LOT B/S,LOTION,,38.00,2,,
A.B.C RELAXER S/S,RELAXER,,10.00,5,,
A.B.C RELAXER M/S,RELAXER,,22.00,2,,
A.B.C RELAXER B/S,RELAXER,,58.00,1,,
UB RELAXER S/S,RELAXER,,10.00,8,,
UB RELAXER M/S,RELAXER,,22.00,3,,
UB RELAXER M/S2,RELAXER,,27.00,2,,
UB RELAXER B/S,RELAXER,,60.00,2,,
BO 16 RELAXER S/S,RELAXER,,10.00,10,,
BO 16 RELAXER M/S,RELAXER,,20.00,6,,
BO 16 RELAXER B/S,RELAXER,,58.00,1,,
CLASSIC HAIR FOOD S/S,Uncategorized,,10.00,7,,
CLASSIC HAIR FOODB/S,Uncategorized,,20.00,6,,
SPORTING BLACK MAGIC,Uncategorized,,12.00,12,,
RASTA COOL,Uncategorized,,14.00,6,,
AFRO STAR,Uncategorized,,14.00,12,,
AFRO POUCH,Uncategorized,,14.00,6,,
VITAL HAIR S/S,Uncategorized,,15.00,10,,
VITAL HAIR B/S,Uncategorized,,24.00,4,,
CHAN CHAN BLACK,Uncategorized,,10.00,6,,
ECO GEL,GEL,,30.00,4,,
STYLE UP HAIR,Uncategorized,,17.00,9,,
AIR CREAM,CREAM,,15.00,20,,
SPORTING WAVES,Uncategorized,,42.00,2,,
WAVES S/S,Uncategorized,,15.00,5,,
WAVES B/S,Uncategorized,,28.00,5,,
CHAPTER 2000 CHAMBERS S/S,Uncategorized,,18.00,1,,
CHAPTER 2000 CHAMBERS M/S,Uncategorized,,28.00,4,,
CHAPTER 2000 CHAMBERS B/S,Uncategorized,,38.00,3,,
SUPER WAVE HAIR TREATMENT,Uncategorized,,18.00,5,,
EASY WAVE RELAXER S/S,RELAXER,,17.00,6,,
EASY WAVE RELAXER M/S,RELAXER,,28.00,4,,
EASY WAVE RELAXER B/S,RELAXER,,40.00,3,,
BIO OIL,Uncategorized,,25.00,3,,
CAROTONE FACE CREAM,CREAM,,12.00,11,,
ABANA FACE CREAM,CREAM,,12.00,5,,
ACNE CLEAR TUBE,Uncategorized,,17.00,0,,
FUNBACT A,Uncategorized,,10.00,16,,
COMBACT N,Uncategorized,,9.00,2,,
OLAYBACT TUBE,Uncategorized,,10.00,9,,
EPIDERM S/S,Uncategorized,,6.00,11,,
EPIDERM B/S,Uncategorized,,9.00,3,,
HABIGAIL TUBE,Uncategorized,,10.00,4,,
TIATIO SERUM,Uncategorized,,15.00,0,,
CITRO CLEAR SERUM,Uncategorized,,15.00,6,,
VIRGIN HAIR FERTILIZER,Uncategorized,,22.00,0,,
NANO EXTRA WHITE SOAP,SOAP,,28.00,0,,
NATURES MAGIC LOT,LOTION,,50.00,3,,
DOMINION VISIBLE BODY LOT,LOTION,,40.00,1,,
IRISH GOLD LOT,LOTION,,38.00,15,,
UNIFORM WHITE LOT,LOTION,,45.00,2,,
PARIS GLOW LOT,LOTION,,45.00,1,,
WHITE AND LOVELY LOT,LOTION,,45.00,1,,
NOMARKS LOT,LOTION,,40.00,1,,
GLUTA WHITE LOT,LOTION,,40.00,2,,
WHITE UP LOT,LOTION,,35.00,12,,
BRONZTONE LOT B/S,LOTION,,40.00,4,,
BRONZTONE LOT S/S,LOTION,,28.00,4,,
B.B CLEAR LOT,LOTION,,40.00,0,,
B.B CLEAR FACE CREAM,CREAM,,22.00,4,,
B.B CLEAR SERUM,Uncategorized,,25.00,5,,
B.B CLEAR OIL,Uncategorized,,20.00,2,,
RICH AND PURE LOT,LOTION,,38.00,5,,
ALMOND HERBAL LOT,LOTION,,55.00,0,,
UNIQUE BODY LOT,LOTION,,50.00,1,,
GOLD SKIN LOT,LOTION,,28.00,12,,
ABANA LOT,LOTION,,27.00,2,,
BRAVIA LOT,LOTION,,28.00,3,,
BODY FASHION LOT S/S,LOTION,,30.00,3,,
BODY FASHION LOT B/S,LOTION,,42.00,1,,
SKIN TONING MILK LOT,LOTION,,75.00,6,,
DR. RASHEL FACE CR,CREAM,,45.00,0,,
DR. RASHEL FACE SERUM,Uncategorized,,45.00,3,,
FAIR CHILD LOT,LOTION,,45.00,31,,
SURFAZ - SN,Uncategorized,,25.00,0,,
D.E.S LOT S/S,LOTION,,28.50,1,,
D.E.S LOT B/S,LOTION,,50.00,2,,
AVOVITA LOT S/S,LOTION,,18.00,4,,
AVOVITA LOT B/S,LOTION,,24.00,0,,
FADE MILK LOT,LOTION,,35.00,4,,
GOLD OLIVE LOT,LOTION,,48.00,6,,
WHITE UP (,Uncategorized,,35.00,1,,
EDAT WHITE LOT,LOTION,,35.00,2,,
BODY ECHO LOT,LOTION,,75.00,2,,
MUST WHITE LOT,LOTION,,38.00,3,,
ACTIVE WHITE LOT,LOTION,,45.00,0,,
SMOOTH LOOK LOT,LOTION,,50.00,2,,
TOPTONE - WHITE LOT,LOTION,,48.00,2,,
PERFECT SKIN LOT,LOTION,,50.00,1,,
RECOVERY OIL,Uncategorized,,38.00,8,,
LIGHTEN UP PLUS LOT,LOTION,,220.00,2,,
CLEAR LIGHT LOT,LOTION,,48.00,2,,
NATUER SECRETE LOT,LOTION,,35.00,3,,
PURE KOJIC WHITE LOT,LOTION,,34.00,1,,
OMEGA SUPER CLEAR LOT,LOTION,,65.00,3,,
VEVO LOT S/S,LOTION,,28.00,3,,
VEVO LOT B/S,LOTION,,48.00,2,,
ALWAYS YOUNG LOT,LOTION,,30.00,0,,
ALWAYS YOUNG CR,CREAM,,40.00,3,,
TEENS AND KIDDIES LOT,LOTION,,45.00,4,,
DAWMMY LOT,LOTION,,18.00,5,,
SKIN LIGHT GIUTAC LOT,LOTION,,48.00,1,,
7/7 GOLD LOT,LOTION,,25.00,4,,
RAZAC LOT,LOTION,,30.00,5,,
NUMBER 1 LOT S/S,LOTION,,28.00,6,,
GIRLFRIEND LOT,LOTION,,40.00,1,,
VASELINE COCOA LOT,LOTION,,38.00,2,,
VASELINE DRY SKIN LOT,LOTION,,38.00,6,,
VASELINE ALOE LOT,LOTION,,38.00,2,,
VASELINE MEN LOT,LOTION,,38.00,2,,
PERFECT MEN LOT,LOTION,,20.00,8,,
NIVEA MEN LOT,LOTION,,65.00,0,,
NIVEA COCOA AND ALOE LOT,LOTION,,65.00,8,,
NIVEA RICH NOURISHING LOT,LOTION,,65.00,4,,
NIVEA Q 12 LOT,LOTION,,75.00,1,,
NIVEA PERFECT AND RADIANT LOT,LOTION,,65.00,0,,
NIVEA RADIANT AND BEAUTY AND VC,Uncategorized,,80.00,3,,
DAY BY DAY LOT S/S,LOTION,,10.00,16,,
DAY BY DAY LOT M/S,LOTION,,20.00,9,,
DAY BY DAY LOT B/S,LOTION,,25.00,3,,
EFFIMAX LOT S/S,LOTION,,22.00,1,,
EFFIMAX LOT B/S,LOTION,,39.00,1,,
EFFIMAX SOAP,SOAP,,10.00,6,,
EFFIMAX CONCENTRATION,Uncategorized,,30.00,1,,
DOVE LOT,LOTION,,38.00,4,,
JOHNSON LOT,LOTION,,65.00,0,,
DAY BY DAY MEN LOT,LOTION,,12.00,10,,
DAY BY DAY MEN LOT B/S,LOTION,,22.00,5,,
VASELINE CR S/S,CREAM,,20.00,7,,
VASELINE CR B/S,CREAM,,35.00,6,,
DISAAR OIL,Uncategorized,,60.00,3,,
VASELINE VITAMIN B3 OIL,Uncategorized,,120.00,1,,
CLINIC CLEAR LOT S/S,LOTION,,23.00,0,,
CLINIC CLEAR LOT B/S,LOTION,,42.00,1,,
VIVA WHITE LOT S/S,LOTION,,18.50,12,,
VIVA WHITE LOT B/S,LOTION,,29.00,3,,
BABY SECRETLOT,LOTION,,85.00,1,,
V22 LOT,LOTION,,80.00,0,,
V22 FACE CREAM,CREAM,,24.00,3,,
WHITE EXPRESS LOT,LOTION,,60.00,1,,
COSMO LOT,LOTION,,38.00,3,,
VETGOLD OIL S/S,Uncategorized,,90.00,0,,
VETGOLD OIL B/S,Uncategorized,,150.00,3,,
GOLDEN GLOW LOT,LOTION,,140.00,1,,
MEDIX LOT,LOTION,,270.00,0,,
FAIR LADY LOT,LOTION,,120.00,1,,
DR TEALS BODY LOT,LOTION,,120.00,2,,
VC LOT,LOTION,,85.00,1,,
PURE CARROT LOT,LOTION,,95.00,1,,
G7 GOLD LOT,LOTION,,80.00,2,,
EDAT TOTAL LOT,LOTION,,150.00,2,,
EB PARIS LOT,LOTION,,95.00,5,,
18K PARIS GOLD LOT,LOTION,,95.00,0,,
DR.RASHEL 24K GOLD LOT,LOTION,,95.00,1,,
DIAMOND GLOW LOT,LOTION,,110.00,7,,
MAKE ME WHITE LOT,LOTION,,120.00,2,,
EASY GLOW LOT,LOTION,,110.00,3,,
SMOOTH DIAMOND LOT,LOTION,,140.00,4,,
EGYPTIAN HALF CAST LOT,LOTION,,100.00,0,,
PURE MAX LOT,LOTION,,95.00,1,,
BELLA WHITE (KOJIC WHITE) LOT,LOTION,,100.00,2,,
MOROCCAN ARGAN OIL BODY LOT,LOTION,,100.00,2,,
EUROPEAN WHITE CARROT LOT,LOTION,,120.00,2,,
LUMINANCE BODY LOT,LOTION,,85.00,2,,
GOLDEN CAVIAR LOT,LOTION,,80.00,1,,
SKIN DOCTOR LOT,LOTION,,85.00,4,,
CARETONE LOT S/S,LOTION,,22.00,3,,
CARETONE LOT B/S,LOTION,,44.00,4,,
STAY YOUNG CR B/S,CREAM,,35.00,2,,
STAY YOUNG CR M/S,CREAM,,18.00,6,,
STAY YOUNG CR M/S2,CREAM,,19.00,1,,
KLEEN CLEANSER,Uncategorized,,25.00,0,,
ROBERT GLYCERINE S/S,Uncategorized,,12.00,14,,
ROBERT GLYCERINE B/S,Uncategorized,,20.00,8,,
OLIVE OIL,Uncategorized,,10.00,11,,
MEDISOFT REPELLENT,Uncategorized,,12.00,8,,
KRIS LOT S/S,LOTION,,7.00,2,,
JOY OINTMENT,Uncategorized,,9.00,9,,
BO 16 HAIR MIST,Uncategorized,,12.00,6,,
CUSSON OIL S/S,Uncategorized,,10.00,0,,
CUSSON OIL B/S,Uncategorized,,18.00,13,,
EFFIMAX Q10 OIL,Uncategorized,,16.00,5,,
JOHNSON OIL,Uncategorized,,69.00,2,,
NAZO,Uncategorized,,5.00,117,,
SKIN LIGHT CR,CREAM,,18.00,3,,
LULU CR,CREAM,,7.00,6,,
DIPROSON,Uncategorized,,8.50,6,,
NULAB ROLL ON,ROLL ON,,20.00,5,,
BODY SPLASH S/S,Uncategorized,,12.00,85,,
BODY PHILOSOPHY B/S,Uncategorized,,30.00,26,,
MISS SPRAY,SPRAY,,10.00,13,,
VIP SPRAY,SPRAY,,10.00,12,,
SENS,Uncategorized,,10.00,8,,
INCIDENCE SPRAY S/S,SPRAY,,15.00,23,,
DAGMAR SPRAY S/S,SPRAY,,15.00,5,,
MARQUISE BLUE SPRAY S/S,SPRAY,,15.00,17,,
PUER LOVE TIN SPRAY,SPRAY,,28.00,3,,
BERRIES WEEKEND TIN SPRAY,SPRAY,,25.00,0,,
TONY M SRRAY,Uncategorized,,30.00,2,,
PERFECT LINE SPRAY,SPRAY,,24.00,9,,
PERFECT LINE TIN SPRAY,SPRAY,,12.00,6,,
GENTLE MAN TIN SPLASH,Uncategorized,,10.00,8,,
VITAMIN C OIL,Uncategorized,,28.00,0,,
VITAMIN E OIL,Uncategorized,,38.00,1,,
LOVILLEA,Uncategorized,,12.00,31,,
FAR AWAY ROLL ON,ROLL ON,,12.00,1,,
TIMELESS ROLL ON,ROLL ON,,12.00,1,,
STYLE UP ROLL ON,ROLL ON,,12.00,6,,
PRINCESS PAA ROLL 0N,Uncategorized,,12.00,12,,
CONET ROLL ON,ROLL ON,,26.00,1,,
NIVEA ROLL ON,ROLL ON,,25.00,5,,
POWER HOUSE ROLL ON,ROLL ON,,20.00,5,,
DOVE ROLL ON,ROLL ON,,20.00,4,,
REXONA ROLL ON,ROLL ON,,20.00,4,,
SPA ROLL ON,ROLL ON,,12.00,10,,
MISTER PERFECT ROLL ON,ROLL ON,,12.00,11,,
MATELOT ROLL ON,ROLL ON,,12.00,14,,
TOP COUNTRY ROLL ON S/S,ROLL ON,,14.00,6,,
TOP COUNTRY ROLL ON M/S,ROLL ON,,16.00,7,,
TOP COUNTRY ROLL ON B/S,ROLL ON,,18.00,1,,
CHAIRMAN SPRAY S/S,SPRAY,,15.00,8,,
SPRING FLOWER ROLL ON,ROLL ON,,12.00,13,,
SWEET HEART ROLL ON,ROLL ON,,12.00,5,,
